"Title","Year","Directors"
"A History of Violence",2005,"David Cronenberg"
"Paths of Glory",1957,"Stanley Kubrick"
"Sleuth",1972,"Joseph L. Mankiewicz"
"Psycho",1960,"Alfred Hitchcock"
"Dead Man Walking",1995,"Tim Robbins"
"Los Amantes del Círculo Polar",1999,"Julio Medem"
"The Broken Circle Breakdown",2012,"Felix van Groeningen"
"Control",2007,"Anton Corbijn"
"De helaasheid der dingen",2009,"Felix van Groeningen"
"The United States of Leland",2003,"Matthew Ryan Hoge"
"The Notebook",2004,"Nick Cassavetes"
"Edward Scissorhands",1990,"Tim Burton"
"Hausu",1977,"Nobuhiko Ôbayashi"
"Tookyo Toraibu",2014,"Sion Sono"
"American History X",1998,"Tony Kaye"
"The Pianist",2002,"Roman Polanski"
"Detachment",2012,"Rebecca Foster, Tony Kaye"
"Yojimbo",1961,"Akira Kurosawa"
"Rosemary's Baby",1968,"Roman Polanski"
"Ai no Mukidashi",2009,"Sion Sono"
"Contact",1997,"Robert Zemeckis"
"The Piano",1993,"Jane Campion"
"The Great Dictator",1940,"Charlie Chaplin"
"Inherent Vice",2014,"Paul Thomas Anderson"
"Candy",2006,"Neil Armfield"
"War Photographer",2002,"Christian Frei"
"Tracks",2014,"John Curran"
"Los cronocrímenes",2008,"Nacho Vigalondo"
"Transcendence",2014,"Wally Pfister"
"Sakasama no Patema",2013,"Yasuhiro Yoshiura"
"Brazil",1985,"Terry Gilliam"
"Breathe In",2013,"Drake Doremus"
"Waking Life",2001,"Richard Linklater"
"Hustle & Flow",2005,"Craig Brewer"
"True Romance",1993,"Tony Scott"
"The Beguiled",1971,"Don Siegel"
"Les Rivières pourpres",2000,"Mathieu Kassovitz"
"Fallen Angels",1995,"Wong Kar-Wai"
"Real - Kanzen Naru Kubinagaryu no Hi",2013,"Kiyoshi Kurosawa"
"Mind Game",2004,"Masaaki Yuasa, Koji Morimoto"
"In the Mouth of Madness",1995,"John Carpenter"
"Himizu",2011,"Sion Sono"
"More",1998,"Mark Osborne"
"Eastern Promises",2007,"David Cronenberg"
"Stay",2005,"Marc Forster"
"21 Grams",2003,"Alejandro González Inárritu"
"Amadeus",1984,"Milos Forman"
"Blue Note, A Story of Modern Jazz",1997,"Julian Benedikt, Andreas Morell"
"Fehérlófia",1981,"Marcell Jankovics"
"Suzumiya Haruhi no Shōshitsu",2010,"Tatsuya Ishihara, Yasuhiro Takemoto"
"Coraline",2009,"Henry Selick"
"Felidae",1994,"Michael Schaack"
"Kumiko, the Treasure Hunter",2015,"David Zellner"
"Into Eternity",2011,"Michael Madsen (II)"
"Cha no aji",2004,"Katsuhito Ishii"
"True Grit",2010,"Joel Coen, Ethan Coen"
"Layer Cake",2004,"Matthew Vaughn"
"Ravenous",1999,"Antonia Bird"
"Anastasia",1997,"Don Bluth, Gary Goldman"
"Deep End",1971,"Jerzy Skolimowski"
"Mysterious Skin",2004,"Gregg Araki"
"Lost Highway",1997,"David Lynch"
"Shortbus",2006,"John Cameron Mitchell"
"Una giornata particolare",1977,"Ettore Scola"
"La Vénus à la fourrure",2013,"Roman Polanski"
"Habemus Papam",2011,"Nanni Moretti"
"Magic in the Moonlight",2014,"Woody Allen"
"La Belle Personne",2008,"Christophe Honoré"
"À perdre la raison",2012,"Joachim Lafosse"
"Vicky Cristina Barcelona",2008,"Woody Allen"
"Paris",2008,"Cédric Klapisch"
"Un air de famille",1996,"Cédric Klapisch"
"Le Goût des autres",2000,"Agnès Jaoui"
"Je vais bien, ne t'en fais pas",2006,"Philippe Lioret"
"De battre mon cœur s'est arrêté",2005,"Jacques Audiard"
"L'Appartement",1996,"Gilles Mimouni"
"Niji-iro Hotaru: Eien no Natsu Yasumi",2012,"Konosuke Uda"
"Haru",2013,"Ryôtarô Makihara"
"Fuse Teppō Musume no Torimonochō",2012,"Masayuki Miyaji"
"Suspiria",2018,"Luca Guadagnino"
"Suspiria",1977,"Dario Argento"
"Ringu",1998,"Hideo Nakata"
"Good Will Hunting",1997,"Gus Van Sant"
"Creepies",2003,"Jeff Leroy"
"Night Train to Terror",1985,"John Carr, Phillip Marshak, Tom McGowan"
