"Title","Year","Directors","Rating10"
"Memento",2000,"Christopher Nolan",8
"My Blueberry Nights",2007,"Wong Kar-Wai",
"Hancock",2008,"Peter Berg",2
"Non-Stop",2014,"Jaume Collet-Serra",
"Babysitting",2014,"Nicolas Benamou, Philippe Lacheau",
"Her",2013,"Spike Jonze",5
"La possibilité d'être humain",2014,"Pablo Girault, Thierry Kruger",7
"Seolgungnyeolcha",2013,"Bong Joon-ho",8
"Reservoir Dogs",1992,"Quentin Tarantino",7
"Evangerion Shin Gekijōban: Ha",2009,"Hideaki Anno, Masayuki, Kazuya Tsurumaki",9
"Evangerion Shin Gekijōban : Jo",2007,"Hideaki Anno, Masayuki, Kazuya Tsurumaki",8
"Un monde sans humains ?",2012,"Philippe Borrel",8
"Memorîzu",1995,"Koji Morimoto, Tensai Okamura, Katsuhiro Ôtomo",8
"The Iron Lady",2012,"Phyllida Lloyd",2
"Juste la fin du monde",2016,"Xavier Dolan",6
"Goksung",2016,"Na Hong-jin",7
"Margin Call",2011,"J.C. Chandor",6
"Skyfall",2012,"Sam Mendes",6
"You're Next",2013,"Adam Wingard",5
"Hana-bi",1997,"Takeshi Kitano",
"Soshite Chichi ni Naru",2013,"Hirokazu Kore-eda",9
"Back to the Future Part II",1989,"Robert Zemeckis",6
"Who Framed Roger Rabbit",1988,"Robert Zemeckis",5
"Back to the Future",1985,"Robert Zemeckis",7
"A Clockwork Orange",1971,"Stanley Kubrick",8
"Fury",2014,"David Ayer",5
"Super Size Me",2004,"Morgan Spurlock",6
"Urbance",2015,"Joël Dos Reis Viegas, Sébastien Larroudé",6
"The Adventures of Tintin : The Secret of the Unicorn",2011,"Steven Spielberg",5
"The Postman Always Rings Twice",1946,"Tay Garnett",7
"Silent Hill",2006,"Christophe Gans",7
"The Exorcist",1973,"William Friedkin",6
"The Kingdom",2007,"Peter Berg",2
"The Hobbit: The Battle of the Five Armies",2014,"Peter Jackson",2
"Machete Kills",2013,"Robert Rodriguez",4
"Furious 6",2013,"Justin Lin",4
"Evil Dead",2013,"Fede Alvarez",7
"World War Z",2013,"Marc Forster",5
"The Hunger Games : Catching Fire",2013,"Francis Lawrence",1
"Rush",2013,"Ron Howard",7
"Zero Dark Thirty",2012,"Kathryn Bigelow",1
"The Wolf of Wall Street",2013,"Martin Scorsese",7
"Gravity",2013,"Alfonso Cuarón",5
"Dark City",1998,"Alex Proyas",6
"Self/less",2015,"Tarsem Singh",1
"The Hunger Games: Mockingjay, Part 1",2014,"Francis Lawrence",1
"Take Shelter",2011,"Jeff Nichols",7
"No Country for Old Men",2007,"Ethan Coen, Joel Coen",8
"Neko no ongaeshi",2002,"Hiroyuki Morita",7
"Wanderers",2014,"Erik Wernquist",9
"Seppuku",1962,"Masaki Kobayashi",9
"Pāfekuto Burū",1998,"Satoshi Kon",8
"Captain Phillips",2013,"Paul Greengrass",5
"Nightcrawler",2014,"Dan Gilroy",6
"Kill Bill: Vol. 1",2003,"Quentin Tarantino",7
"Donnie Darko",2001,"Richard Kelly",9
"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson",9
"Lost in Translation",2003,"Sofia Coppola",8
"Kurenai no Buta",1992,"Hayao Miyazaki",9
"Tōkyō Goddofāzāzu",2003,"Satoshi Kon, Shôgo Furuya",8
"The Shining",1980,"Stanley Kubrick",9
"The Matrix",1999,"Lilly Wachowski, Lana Wachowski",9
"One Flew Over the Cuckoo's Nest",1975,"Milos Forman",8
"Hotaru no Haka",1988,"Isao Takahata",9
"Sen to Chihiro no Kamikakushi",2001,"Hayao Miyazaki",9
"American Hustle",2013,"David O. Russell",3
"The Grand Budapest Hotel",2014,"Wes Anderson",7
"Only Lovers Left Alive",2013,"Jim Jarmusch",7
"Kara no Kyōkai : Tsuukaku Zanryuu",2008,"Obunai Mitsuru",8
"OSS 117 : Le Caire, nid d'espions",2006,"Michel Hazanavicius",8
"Kara no Kyōkai : Satsujin Kousatsu (Kou)",2009,"Shinsuke Takizawa",9
"Redline",2010,"Takeshi Koike",8
"Papurika",2006,"Satoshi Kon",7
"The Road",2009,"John Hillcoat",7
"The Backwater Gospel",2011,"Bo Mathorne",8
"Paperman",2012,"John Kahrs",8
"The Animatrix",2003,"Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri",8
"9",2009,"Shane Acker",7
"2001: A Space Odyssey",1968,"Stanley Kubrick",8
"Oldeuboi",2003,"Park Chan-wook",8
"La Haine",1995,"Mathieu Kassovitz",8
"The Fountain",2006,"Darren Aronofsky",5
"2046",2004,"Wong Kar-Wai",8
"Gin-iro no kami no Agito",2006,"Keiichi Sugiyama",5
"Kōkaku kidōtai 2.0",2008,"Mamoru Oshii",3
"Gekijōban Kaubōi Bibappu : Tengoku no Tobira",2001,"Shinichirô Watanabe",8
"Kingdom of Heaven",2005,"Ridley Scott",8
"Exodus : Gods and Kings",2014,"Ridley Scott",3
"The Emperor's New Groove",2000,"Mark Dindal",8
"Letters from Iwo Jima",2006,"Clint Eastwood",6
"The Boat That Rocked",2009,"Richard Curtis",7
"Moneyball",2011,"Bennett Miller",7
"Hot Shots !",1991,"Jim Abrahams",4
"Hauru no Ugoku Shiro",2004,"Hayao Miyazaki",8
"The Lord of the Rings : The Two Towers",2002,"Peter Jackson",9
"Tenkū no shiro Rapyuta",1986,"Hayao Miyazaki",9
"Kôkaku kidôtai",1995,"Mamoru Oshii",9
"Ashura",2012,"Kei'ichi Sato",5
"Tropic Thunder",2008,"Ben Stiller",6
"Drive",2011,"Nicolas Winding Refn",8
"The Thing",1982,"John Carpenter",9
"Kara no Kyoukai: Fukan Fuukei",2007,"Ei Aoki",8
"28 Days Later",2002,"Danny Boyle",8
"The Silence of the Lambs",1991,"Jonathan Demme",9
